Company,Year,Total_sales
Maruti Suzuki,2021,1364787
Hyundai,2021,505033
Tata,2021,330552
Mahindra,2021,203124
Kia,2021,180261
Honda,2021,89153
Toyota,2021,130799
Renault,2021,95878
Ford,2021,33480
Nissan,2021,39090
MG,2021,39858
Volkswagen,2021,26064
Skoda,2021,23857
Jeep,2021,11652
Maruti Suzuki,2020,1213388
Hyundai,2020,423642
Tata,2020,169880
Mahindra,2020,138873
Kia,2020,140505
Honda,2020,70533
Toyota,2020,76111
Renault,2020,80518
Ford,2020,45799
Nissan,2020,2377
MG,2020,28162
Volkswagen,2020,15598
Skoda,2020,11372
Jeep,2020,5226
Maruti Suzuki,2019,1464450
Hyundai,2019,510260
Tata,2019,152002
Mahindra,2019,219682
Kia,2019,45494
Honda,2019,134738
Toyota,2019,126701
Renault,2019,88869
Ford,2019,73636
Nissan,2019,6910
MG,2019,15930
Volkswagen,2019,32324
Skoda,2019,15284
Jeep,2019,10935
